epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.819,1.96036,3.69125,0.94153,0.00596,0.06598,0.02002,0.0046,1.74089,4.07449,0.85921,0.000225,0.000225,0.000225
2,10.244,1.76103,2.04946,0.87937,0.00182,0.01755,0.0057,0.00136,1.78605,3.80203,0.86625,0.000459448,0.000459448,0.000459448
3,14.4939,1.77986,1.44201,0.88212,0.01255,0.09819,0.04783,0.01689,2.35981,3.41637,0.93768,0.00069076,0.00069076,0.00069076
4,18.6609,1.71703,1.29207,0.86031,0.0367,0.32492,0.20686,0.09954,1.58467,2.66049,0.84186,0.000918938,0.000918938,0.000918938
5,22.835,1.6606,1.23833,0.8455,0.6668,0.26485,0.21629,0.10839,1.55654,2.18147,0.8478,0.00114398,0.00114398,0.00114398
6,27.0123,1.64192,1.19602,0.84257,0.90746,0.20655,0.23794,0.10906,1.76414,1.71953,0.87864,0.00120875,0.00120875,0.00120875
7,31.2073,1.55242,1.1207,0.83468,0.87618,0.25031,0.28077,0.16619,1.3853,1.17564,0.83792,0.0012005,0.0012005,0.0012005
8,35.3531,1.5218,1.09128,0.8341,0.8735,0.26373,0.30105,0.17201,1.3924,1.08937,0.83254,0.00119225,0.00119225,0.00119225
9,39.5821,1.51616,1.06666,0.83253,0.90845,0.25628,0.32135,0.18722,1.36644,0.99879,0.82753,0.001184,0.001184,0.001184
10,43.8727,1.54609,1.06936,0.83609,0.73649,0.31685,0.34743,0.19024,1.4345,1.02179,0.84355,0.00117575,0.00117575,0.00117575
11,48.142,1.5413,1.0399,0.82682,0.75529,0.3324,0.3527,0.20041,1.36005,0.92997,0.82555,0.0011675,0.0011675,0.0011675
12,52.4932,1.51104,1.02375,0.82489,0.6884,0.3232,0.36216,0.20763,1.30879,0.90804,0.82229,0.00115925,0.00115925,0.00115925
13,56.7196,1.47671,0.97981,0.81799,0.67233,0.36594,0.41111,0.21777,1.36017,0.91369,0.82314,0.001151,0.001151,0.001151
14,60.9233,1.43719,0.96105,0.82835,0.69509,0.38512,0.43563,0.25147,1.27146,0.86699,0.81518,0.00114275,0.00114275,0.00114275
15,65.1326,1.42827,0.93856,0.82116,0.73528,0.45998,0.48581,0.27775,1.28503,0.83394,0.81731,0.0011345,0.0011345,0.0011345
16,69.3257,1.4197,0.9115,0.81997,0.77848,0.47631,0.51837,0.29474,1.26007,0.79949,0.8189,0.00112625,0.00112625,0.00112625
17,73.4925,1.44102,0.88731,0.81582,0.75934,0.49922,0.53567,0.29564,1.30042,0.78644,0.81911,0.001118,0.001118,0.001118
18,77.9353,1.42799,0.86843,0.81835,0.7492,0.5257,0.56597,0.32038,1.28749,0.77844,0.82171,0.00110975,0.00110975,0.00110975
19,82.2306,1.51813,0.88845,0.81544,0.79392,0.51004,0.56823,0.29863,1.43148,0.79905,0.82145,0.0011015,0.0011015,0.0011015
20,86.46,1.49568,0.88196,0.81667,0.8039,0.54953,0.58734,0.33335,1.24502,0.7463,0.81456,0.00109325,0.00109325,0.00109325
21,90.651,1.37905,0.82515,0.81295,0.82821,0.58239,0.62644,0.34793,1.29831,0.73694,0.82506,0.001085,0.001085,0.001085
22,95.0088,1.40309,0.83458,0.81302,0.71893,0.57548,0.61759,0.33141,1.24161,0.74131,0.81466,0.00107675,0.00107675,0.00107675
23,99.1004,1.38933,0.81489,0.81529,0.77159,0.5643,0.62284,0.3585,1.22715,0.70944,0.81775,0.0010685,0.0010685,0.0010685
24,103.166,1.33455,0.79328,0.81586,0.63667,0.60214,0.61146,0.33654,1.27351,0.77482,0.82393,0.00106025,0.00106025,0.00106025
25,107.227,1.39498,0.78548,0.80977,0.68065,0.60104,0.6321,0.3638,1.23139,0.74036,0.81715,0.001052,0.001052,0.001052
26,111.616,1.46871,0.81912,0.81812,0.74191,0.64674,0.65171,0.36048,1.32616,0.74563,0.81844,0.00104375,0.00104375,0.00104375
27,115.91,1.38502,0.78495,0.82034,0.63787,0.63545,0.64378,0.35753,1.22148,0.71245,0.81678,0.0010355,0.0010355,0.0010355
28,120.132,1.43108,0.79065,0.81005,0.69696,0.63879,0.65967,0.36588,1.30644,0.73418,0.81977,0.00102725,0.00102725,0.00102725
29,124.312,1.42516,0.81941,0.82801,0.65577,0.60346,0.629,0.36283,1.3124,0.77714,0.82856,0.001019,0.001019,0.001019
30,128.633,1.47829,0.80582,0.8228,0.67421,0.56832,0.60203,0.30567,1.36237,0.77962,0.82689,0.00101075,0.00101075,0.00101075
31,132.801,1.37977,0.76517,0.81584,0.8357,0.65608,0.69428,0.39326,1.20979,0.68686,0.81488,0.0010025,0.0010025,0.0010025
32,137.005,1.35238,0.76643,0.80876,0.78829,0.68844,0.70554,0.40991,1.21701,0.68307,0.8198,0.00099425,0.00099425,0.00099425
33,141.289,1.35708,0.75979,0.80957,0.82512,0.68269,0.71169,0.39584,1.23495,0.67878,0.81581,0.000986,0.000986,0.000986
34,145.551,1.37757,0.74745,0.81829,0.77572,0.63442,0.67879,0.35524,1.35214,0.73556,0.82889,0.00097775,0.00097775,0.00097775
